delegation/delegator_address,delegation/validator_address,delegation/shares,balance/denom,balance/amount
juno1qfe0frzed3e5jdgds9ly4lp7txhtvd45uv039k,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,2000.000000000000000000,ujuno,2000
juno1qtgjg2pm7jje48damnqlwk93jr6lv2jt3h4849,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,2000.000000000000000000,ujuno,2000
juno1qd463kzgk73cpk9ywl3jhvn4v4uwlwd3l9m93q,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,1051550823.000000000000000000,ujuno,1051550823
juno1pp3rrx553567neppncl4thk6eltahwm42tuegz,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,2000.000000000000000000,ujuno,2000
juno1pphmpcgq3fufwuchv359mnh8xz855ul3l29qg2,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,6000000.000000000000000000,ujuno,6000000
juno1papm4yaclxtc8392qqwmrwg9nmtnjr3gxfyx0z,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,2100000.000000000000000000,ujuno,2100000
juno1zppgchdw3a4kvyhxl8x6w3m4whh7x7gsjp330l,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,21000000.000000000000000000,ujuno,21000000
juno1zdxzpcjafydkw30j8lwsjdd2dxnhdaa47tjgul,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,26195119.000000000000000000,ujuno,26195119
juno1zsf2fs59kqqhm9u9yvzexf0tgqdqvwc0t2cgqs,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,7203643.000000000000000000,ujuno,7203643
juno1zkwy05d8lee2xc3zkz8wnyzld8kwug0mcmnzph,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,2154000.000000000000000000,ujuno,2154000
juno1zl68y0c60uyhalp6m98s2ggsmlmkfmcdajsrll,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,2000.000000000000000000,ujuno,2000
juno1rxc447drylze730ta5z5ltmzpd6en06cdymy02,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,8100000.000000000000000000,ujuno,8100000
juno1r8f2c2kdt7veq470g4ghxv6yzfwcl0df5kjqpz,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,1000.000000000000000000,ujuno,1000
juno1r286xa5e5cn06rtwfwjmf736z9y88l68y2s9t7,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,10000000.000000000000000000,ujuno,10000000
juno1rda48ajn97n5tzx4r4s8yusalpaed27nva83qp,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,105000.000000000000000000,ujuno,105000
juno1yz3ajgnkpcf37vwa4dct46pjprcj9edzvu9m5j,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,1000.000000000000000000,ujuno,1000
juno1yw9tqtt6ugtm9lae77fx6lwa0ecfxg9nmyv2xj,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,30000080.000000000000000000,ujuno,30000080
juno1y4qs5043t8fq0637tmu5l5yrw3nhwmfnx3840u,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,61000000.000000000000000000,ujuno,61000000
juno1ykqfsmrw0uk4fcnycpp60a0cdg0xlsmced6c8x,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,50000000.000000000000000000,ujuno,50000000
juno19r7mhazzqp4vu4qewhd5r3tfdtdd8ejfa8lvsk,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,6000000.000000000000000000,ujuno,6000000
juno190g5j8aszqhvtg7cprmev8xcxs6csra7xnk3n3,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,10000000000.000000000000000000,ujuno,10000000000
juno19j57s4s3eu6kpdr0700gcaj4j4zn7kxe4mssd8,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,6427822.000000000000000000,ujuno,6427822
juno19jmuvluv7gu5834q0gem2dqaf8h5zf3ynhzfxj,junovaloper1am80fauk3gnzcr76ylg0yju4f0chen5x6zmq7q,12489924.000000000000000000,ujuno,12489924
