delegation/delegator_address,delegation/validator_address,delegation/shares,balance/denom,balance/amount
juno1qqge5vj0v523kx3e7mze6syemt6hzp0jxgu3a9,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,210.000000000000000000,ujuno,210
juno1qqw6eedvf38q2zh098njzg5ns9zaxtqktm5k5f,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,2000.000000000000000000,ujuno,2000
juno1qq5k26kkjydu37wkyaua4wz6r7vf8ljk2j4s33,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,11000000.000000000000000000,ujuno,11000000
juno1qq7u8dl292ujzmsm59zglme2wx7vxhvy8ygkwv,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,10000000.000000000000000000,ujuno,10000000
juno1qp9qzvm8epmuwt4vjd3426h640k8majrc0nl5h,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,5200000.000000000000000000,ujuno,5200000
juno1qpdpwv0gtuc3mga7s6lelss9yxmw4lch92py24,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,1993750.000000000000000000,ujuno,1993750
juno1qp3zrytpjtgfrljak4apn5tfqr3d4w2g4fr7q3,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,1473734.000000000000000000,ujuno,1473734
juno1qzgqptzr5cyplaq6w4fhxh5qnjj4ev0dl3jerf,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,105000.000000000000000000,ujuno,105000
juno1qzvrc782mglck54ryefg4rp25jh45rvjud5ndu,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,15053800.000000000000000000,ujuno,15053800
juno1qzwp70yftant32yerkf2tq3vegs2uqf3vjemxt,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,21000000.000000000000000000,ujuno,21000000
juno1qzshzq40u3rp5n8xdv5zwfwazwrg7kch4lsujd,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,100000.000000000000000000,ujuno,100000
juno1qrp95clds3dk2ctdfwn35t42ezyrc9eh3anpx5,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,210.000000000000000000,ujuno,210
juno1qr94p504tdcnp846jr0fe09ru7k6jx8ta4r5v7,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,700000.000000000000000000,ujuno,700000
juno1qrggehucr6pzqcmlgnyh9h7x9qwp4cxk5ahevl,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,624051180.000000000000000000,ujuno,624051180
juno1qyz2t5qxl4qkzedd8x9lu4dv48rsxxsmy266z3,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,850000.000000000000000000,ujuno,850000
juno1qyzh6qtx8gvyt5yjljde6agwg5us5j8fyp8qkg,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,5000000.000000000000000000,ujuno,5000000
juno1qyrthpj4y884krvmrrcw3qfr0wht33q00cwac9,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,15000000.000000000000000000,ujuno,15000000
juno1qy27dr7fq37yqk7uvepft9j2pqm6fznzl2kwc8,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,20540000.000000000000000000,ujuno,20540000
juno1qy7wp6fv79ggt5skmr5jfqy6prypc2eykwmwln,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,343290909.000000000000000000,ujuno,343290909
juno1q9p6cczkspawy66thwra4mu8kx438tjcnhfmwx,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,25201125.000000000000000000,ujuno,25201125
juno1q9urr92mhcy88axsn4u6yj89rv4xtdt0a50a5t,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,50000000.000000000000000000,ujuno,50000000
juno1q97y0yr0pu4lld9fy7vecamrth7n8d6z3z8cxm,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,10000000.000000000000000000,ujuno,10000000
juno1qxr5egxvxjgqhpqumsakekpj9yh205y0cg7njy,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,5005000.000000000000000000,ujuno,5005000
juno1qx7zt8yudxapztjhu9a3sgld0zt7yh03fj5das,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,25000000.000000000000000000,ujuno,25000000
juno1q8zvqsr0yf0ac063pggr52jje8v4grz29lp8zt,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,100000.000000000000000000,ujuno,100000
juno1q85k7an4hwkwhfjcxtkkn6at5p07cgmcwujzn5,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,24000000.000000000000000000,ujuno,24000000
juno1q85c764zhzp4ka4t5htrmacvxwvhak25ks8dy4,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,30110940.000000000000000000,ujuno,30110940
juno1q87zg93vjdzylc7fdy0nfysnpq8vyh9qleellu,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,25100000.000000000000000000,ujuno,25100000
juno1qgz2q9tlw3m6e4hkx0h86lxu0qym0mgnknhlf5,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,17487343439.000000000000000000,ujuno,17487343439
juno1qgxh0ernu9uwtwqljpjurk353xutcw20sag9ns,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,17736025.000000000000000000,ujuno,17736025
juno1qggq0f0pkk45sqmwme2crqsvt4stuymtm623sv,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,225000.000000000000000000,ujuno,225000
juno1qg0r990qddkeqckuhtcj257k4gwsazvc46zypu,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,22190000.000000000000000000,ujuno,22190000
juno1qgccj7vmzhagxk7uyfsym6mq9qc0p3xvllc27q,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,30000000.000000000000000000,ujuno,30000000
juno1qgu227rkd8qwq92mdr0l0cp4e5n6y4yrd0dmqy,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,10000000.000000000000000000,ujuno,10000000
juno1qgaxjh75wsy284747zlqr2kdjqrtmwg6msvdly,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,32270721.000000000000000000,ujuno,32270721
juno1qfzer6mgmnkkvu34awseljf7cr494489nzcc79,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,25141801.000000000000000000,ujuno,25141801
juno1qf88wceklrk5ktkpkafrukjza2a4p7zq0v5y9z,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,2499750.000000000000000000,ujuno,2499750
juno1qf2rw0jl9era23lle4lx6haqqfe7qnyj0xewun,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,82500000.000000000000000000,ujuno,82500000
juno1qftgvaz3c42855kptxcrs6vttvphaa37lrywh5,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,10000.000000000000000000,ujuno,10000
juno1qf0kxkk60qrcj5qa7v7t439249qfkcd47nu7lk,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,2142992.000000000000000000,ujuno,2142992
juno1q2sm52c86w586hqduv6aqrre8ylpnhukdm6798,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,30832944.000000000000000000,ujuno,30832944
juno1q2kym8shnecay9n2fgl99cmc6jl4na9qh7htkn,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,50100000.000000000000000000,ujuno,50100000
juno1q2hdfwnrapjy7rag3leln45aapa097cag2vavz,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,100000.000000000000000000,ujuno,100000
juno1qvp4p3c82f0x4vvsxd8sxhllclhvwm4ph2mxm6,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,320000.000000000000000000,ujuno,320000
juno1qvphj9f6kwn3hvqw20mk4x3vyxrz0jdupfyqhh,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,15170.000000000000000000,ujuno,15170
juno1qv9j4y0ktak4lkfn2m36fhezcxlt49tf85zkln,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,110.000000000000000000,ujuno,110
juno1qvsluk6w3rppkrss0d964c9p36fvj5p90hx3y0,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,100000.000000000000000000,ujuno,100000
juno1qdfjjvktchm0vc23neh0ale5cklm3z8rsj5xx4,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,1500000.000000000000000000,ujuno,1500000
juno1qdv9r34uhwr4xm6rgr3r9s08aujfgmwk8qgsnx,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,2127847.000000000000000000,ujuno,2127847
juno1qwpmm3ejh2sddz4xxd8h8stgwyu9nx7vdxrz27,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,20000000.000000000000000000,ujuno,20000000
juno1qw9gaggsy2k5gpdpz5z54hzhkrk5huegx602hz,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,15170.000000000000000000,ujuno,15170
juno1qwtcmrm2p9nvqf3a8y967h4vgx6mknduuay9p8,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,210.000000000000000000,ujuno,210
juno1qwhpa26y96nm8cxhty88gnvp29pvvfjtf6xjsv,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,5000000.000000000000000000,ujuno,5000000
juno1qwm86e67myvf282sua85hawn6nq8jejakynxxl,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,10000000.000000000000000000,ujuno,10000000
juno1q0jfuphvhexmtwvul3hylhdq5cv346pg5pxzne,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,1028047.000000000000000000,ujuno,1028047
juno1q0472k544gd6eltqmgppq9szvx8gg5krluac8v,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,1000.000000000000000000,ujuno,1000
juno1qsyuxe9g2n04ytfznej3xtq395kaceu5et8yda,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,210.000000000000000000,ujuno,210
juno1qs9tx33klf7mtmgf8gnns0hewhmuqe9wm42q9h,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,52562635.000000000000000000,ujuno,52562635
juno1qsxhkvs3yw8tt6vh47x55ds88842eqnm59wua6,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,3666847.000000000000000000,ujuno,3666847
juno1qsnses6ajhfmuqpk67mc6cs2ydydwhqr9ktusl,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,20000000.000000000000000000,ujuno,20000000
juno1qse3jhkz3yrq5dg77cdltcclu8tqew3c8wegyu,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,10178032.000000000000000000,ujuno,10178032
juno1qseu7wmcmk3tdy082z7j0sreh05gklr09hplnm,junovaloper1wszlc0l5tfh37mq24009pzf24mavlkx4p97jjz,3200000.000000000000000000,ujuno,3200000
