delegation/delegator_address,delegation/validator_address,delegation/shares,balance/denom,balance/amount
juno1qqq9txnw4c77sdvzx0tkedsafl5s3vk7hn53fn,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,21159969.000000000000000000,ujuno,21159969
juno1qqq22fsralalyq92xl29xv9xxqvtyc2fu3e3p9,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,16111965.000000000000000000,ujuno,16111965
juno1qq9avn98wcmwkrkxqfdfmz95s9fxp6dggcdmlh,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,15642196.000000000000000000,ujuno,15642196
juno1qqxdghrechyfq2ryl74ecmg2c2epslfeed9423,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,13500000.000000000000000000,ujuno,13500000
juno1qqge5vj0v523kx3e7mze6syemt6hzp0jxgu3a9,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,210.000000000000000000,ujuno,210
juno1qq2wnkjlky6uswlgs7quxdrv0lmc2h2vxucup3,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,12419043.000000000000000000,ujuno,12419043
juno1qqtl20nzpsyfaqla2mgap3zzkh6wjycxtgdqhx,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,19000000.000000000000000000,ujuno,19000000
juno1qqnmhakqvy42gtsvkzy6mfmh4feaxdprgw2dgt,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,50885264.000000000000000000,ujuno,50885264
juno1qpz0r8klp0tsw2873yd3xlsf0ctev5w5kjx69h,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,1000000.000000000000000000,ujuno,1000000
juno1qp9qzvm8epmuwt4vjd3426h640k8majrc0nl5h,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,1000000.000000000000000000,ujuno,1000000
juno1qp9llak8jxdk0up5drj8vfhr85hpfrhexnwx4k,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,6593125.000000000000000000,ujuno,6593125
juno1qpfc05u4w5aruk7epmdtuvgzqnsh0gj093uqjx,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,306088.000000000000000000,ujuno,306088
juno1qpsewlhns30yav3jfsv55a4fure36wgk98s8dn,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,70000.000000000000000000,ujuno,70000
juno1qp59nq03fvvwxdyujh60a5kucdezgrwd287ywe,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,8700000.000000000000000000,ujuno,8700000
juno1qp5g5ph5epuctqqj3zvytr4rnjgkpna3xu94l0,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,1701519.000000000000000000,ujuno,1701519
juno1qp47ummal6vlmwa9a6yznwhpdhfdea5r5mucsd,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,5920829.000000000000000000,ujuno,5920829
juno1qpktdl30qqcr5n9wkgkh8py8a25hfzk3u4nrxy,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,434801112.000000000000000000,ujuno,434801112
juno1qpkjncgldyumu3ftjh52lyufycmpxrq53wjpzh,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,2295594.000000000000000000,ujuno,2295594
juno1qpmlcdjun6ya06e8snj4anfeczldkpdpmmtp9p,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,10010000.000000000000000000,ujuno,10010000
juno1qpaucg76t37xezlfvnfrw80wcnfcrawqrq0lga,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,10415000.000000000000000000,ujuno,10415000
juno1qzgkayy06kg8ykkhp2aznelzhv48ue6nre5lhz,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,51418452.000000000000000000,ujuno,51418452
juno1qzte2qqtdnkfss5m78w232qf0qze82s567su6d,junovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w2aqycm,4100000.000000000000000000,ujuno,4100000
