delegation/delegator_address,delegation/validator_address,delegation/shares,balance/denom,balance/amount
juno1qg04faedykl4da9p66wk7937zkauv766wnrrws,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,913400000.000000000000000000,ujuno,913400000
juno1qtk9vgdz6t20vzcrsawnvvx7lqgtpz89dmd287,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,2.000000000000000000,ujuno,2
juno1qs90j7gwvdcqqd94etlhyk522auqusn6u80wp9,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,1040000.000000000000000000,ujuno,1040000
juno1q3mwf3x3qj9sps5ewlgr9w0ujthhln6tjt0d8l,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,350000.000000000000000000,ujuno,350000
juno1qn082mqg5uzu0z2ddf6ess705dy6k30sxrw3x6,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,10699556.000000000000000000,ujuno,10699556
juno1qe0l4ksz6205kwv76c4c7d9c7pckn8mg8azrwx,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,1040000.000000000000000000,ujuno,1040000
juno1pptln64s9zllu9rzkfsnjl9zx6x3vnshhpadl4,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,1000000.000000000000000000,ujuno,1000000
juno1p6tdd2mmjgehxda3nztm4nytln2nz6vkx7th5l,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,8500.000000000000000000,ujuno,8500
juno1pl3j32mttzjwl4eplqwa74u44ffujrh5ykfjau,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,1040000.000000000000000000,ujuno,1040000
juno1zq3xf8d7rjxc9hwu5jfwnqeeh8rsjj3xzca9wv,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,5000000.000000000000000000,ujuno,5000000
juno1zqnqsm2sm3lgyfgrzu0w0ll7kczxqcgztsqjsj,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,110000.000000000000000000,ujuno,110000
juno1z9tp3pg7wrcje8rnlnk63c3hrs93sdw09ap2ll,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,999000000.000000000000000000,ujuno,999000000
juno1zhwy4a44jal3jqsg7exeq79q75m0trfeffrz9d,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,10248901.000000000000000000,ujuno,10248901
juno1z6knchg5yr5unvtawp73k920e3rx4lh4e90qa9,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,1040000.000000000000000000,ujuno,1040000
juno1z6l6utmx838vl8tayxlt7lnmkph7pqz99umxzr,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,5030000.000000000000000000,ujuno,5030000
juno1rp5vgppcxqglqjwvhxp4ype5gfst28z9m5plcv,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,1000000.000000000000000000,ujuno,1000000
juno1rzwcz6vphst9h4nekvrsa98hq5mhjszfg4azar,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,1040000.000000000000000000,ujuno,1040000
juno1r8he2t2eurm60d2ad45x5xncfv7tt2rlwywy5n,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,10000000.000000000000000000,ujuno,10000000
juno1rse08e3r42qegcc8uhw7gjm2sjznzg6zwp86k8,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,5090000.000000000000000000,ujuno,5090000
juno1rjh5s50r9t5qryrnjuq00r8k42rlv9st3tdrwz,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,188218.000000000000000000,ujuno,188218
juno1rlu09uxyqz4cf4ce8j7qgjaruyp357yuq42tu6,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,10000000.000000000000000000,ujuno,10000000
juno1yfqswayzce28rzqrw9z6gctv4nzwwktslfjf4r,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,50000000.000000000000000000,ujuno,50000000
juno1y2exazkqeahzxqwtw3jhjepp85lsjs9a8lc47j,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,100.000000000000000000,ujuno,100
juno1yvaxz2sanpgcv38hm9sj568hwa7zvghc7ygdmk,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,25100000.000000000000000000,ujuno,25100000
juno1y7gj5ydpvvlxn58z55lg8g3vzyh9mkjvyte9tn,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,8500.000000000000000000,ujuno,8500
juno1y73v68s8hgeucscf88282eqavek0jgalxaymfa,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,18649355.000000000000000000,ujuno,18649355
juno192f9rlv7lt066q4ayaarj4fypnwfwejwg8w6wh,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,1000000.000000000000000000,ujuno,1000000
juno19vfatwha0tc53vcmqg8medzq40w6qsu2elccux,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,1040000.000000000000000000,ujuno,1040000
juno190g5j8aszqhvtg7cprmev8xcxs6csra7xnk3n3,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,17200000000.000000000000000000,ujuno,17200000000
juno190t90m7zplw5rrq8v4g9fs0tfpr7mqk80wxp26,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,31091706.000000000000000000,ujuno,31091706
juno19nhhaqgz4nejt65zl9retwm85wmdx2wk7rg06k,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,9400000.000000000000000000,ujuno,9400000
juno19a9kkrw944nnrk9u865pnc064n4hr5zlhgvcjl,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,20500000.000000000000000000,ujuno,20500000
juno197nrt26lht5k6805f5qfmj5r3mndwcsm4tupnt,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,42580000.000000000000000000,ujuno,42580000
juno1xp4y9kdjn6ag3fcwvjaj9s88u9gve2yqrjwzpp,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,20000000.000000000000000000,ujuno,20000000
juno1xfq88ts2z9xldcc2glg78qxdwcx8pjaexulerr,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,2000.000000000000000000,ujuno,2000
juno1x5yh3fkm7h7l5k0zzc6pal2wx8g4nknv0dczmu,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,501248.000000000000000000,ujuno,501248
juno1xeuuwxueqv2hl805gdq2vasumz69l9emha4w0c,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,1010000.000000000000000000,ujuno,1010000
juno1808x90mwuprc4hmfsswhmetsz2uhz5jy3vjgsc,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,170000.000000000000000000,ujuno,170000
juno180cg9nczfmsurk273vrpkjqh4g4nq9l7dk6fpp,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,1100.000000000000000000,ujuno,1100
juno1807an7haa4zsq6hke4vhr4gyp05nasx862cspd,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,9811.000000000000000000,ujuno,9811
juno18s8f6p8yk57ydzkvx2am7ewm2388nrzpgw35mg,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,100.000000000000000000,ujuno,100
juno185muauvvhf3n3cxhjknjhqvey9dgglvpq32qke,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,150000.000000000000000000,ujuno,150000
juno18kygsraqrdj9dtfv553l4c7dzw3m5kq4kded3h,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,50000.000000000000000000,ujuno,50000
juno186sj2kq43zzeyn85pngf8rqdjqt647ygfggd0q,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,8300000.000000000000000000,ujuno,8300000
juno18a09al97tn39396hzejpegypcgqzu5rft7a6k2,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,10454639.000000000000000000,ujuno,10454639
juno1g25y6qhe4chafvmjsaaxzcvjfvw4pkutp3kl6t,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,290000.000000000000000000,ujuno,290000
juno1g2mjkrugdjr0h75cwg9ml5r8ynltd4z9r42th3,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,10000.000000000000000000,ujuno,10000
juno1gc9klppxv23ru3668ehd07je35mu640uj44wtm,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,20000000.000000000000000000,ujuno,20000000
juno1gct0wnld98qwgwqh9v2ysx2esj8l0d3jpppd6c,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,30140000.000000000000000000,ujuno,30140000
juno1fq0h5qxymjqfp5xrgmhxeu4ttny3020u8qwxnm,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,1512086.000000000000000000,ujuno,1512086
juno1fv55m4lny57549j38sgmrardazlef7ms68syf0,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,130000.000000000000000000,ujuno,130000
juno1f0tklc6apn243lmvz0nsux0mpx59crf8g2m7p4,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,49995000.000000000000000000,ujuno,49995000
juno1fjfzd4fxx5eqghztvzsdsa0gphjr2r365r75xq,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,5647000.000000000000000000,ujuno,5647000
juno1fhfrzdwrflt3t6stad04j8xdrpkq600t6r83d9,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,1040000.000000000000000000,ujuno,1040000
juno1fu723qk8z8t0qf25urfqm8qvkzf5pjwcuhlvl6,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,550000000.000000000000000000,ujuno,550000000
juno1fljmcsaly2jpyrr87wcv02k6xcsc8pnhnykd8n,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,140000.000000000000000000,ujuno,140000
juno12pmqqfchfhhlmvttltae4y6manugz5467hp4rt,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,1461972244.000000000000000000,ujuno,1461972244
juno12rfjvrj0zmt0sr4c2wvwu3juc5jj75fww0ep73,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,1040000.000000000000000000,ujuno,1040000
juno12sx4pwujylwqa3rymkm0mc08qm5ntay6mmng7m,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,1040000.000000000000000000,ujuno,1040000
juno12slt96ddw9wtppg7ce2hgxvcax4wsxfpyma3nh,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,5042834.000000000000000000,ujuno,5042834
juno12jeth5afc82ly2cy3860wj0mk44xcuhhks7279,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,1040000.000000000000000000,ujuno,1040000
juno125s2fr0x3fhzwr8m57x0nv58xv39kv3hzq8y7u,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,25000000.000000000000000000,ujuno,25000000
juno124nekudjkaxxp9fk8yek7tjezzpg85ysg6986g,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,100000.000000000000000000,ujuno,100000
juno12l8pd0yps6gsmplx59zdfaj3uy0v3704xg0fdn,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,4170000.000000000000000000,ujuno,4170000
juno12l2pk0vsezx7vrllp5wvjdcl0qfgnjamjsmfk5,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,60065000.000000000000000000,ujuno,60065000
juno1tz52c7cmxlerhdzk4vzzftmk4tjkaj39elkshe,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,1040000.000000000000000000,ujuno,1040000
juno1txqce3t0k2crw34eqtj0wza46r9gahvdulhn86,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,500000.000000000000000000,ujuno,500000
juno1vpd7fqhkf32vcap8q5tmq0f5jek9y7khrs6z8d,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,10000000.000000000000000000,ujuno,10000000
juno1v9xaln6h5xvnjhsfh7rhqcmfa9ef5t4d02jeky,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,400000.000000000000000000,ujuno,400000
juno1v9hyralegqa0lenkw7dx0nq8ca4ykqdxzgy3w5,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,22193.000000000000000000,ujuno,22193
juno1v8k37a6gn84wmenhqp6v2d9kxsx3epq2vju6q9,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,121898437.000000000000000000,ujuno,121898437
juno1v8hayns4zauhwvw07tjf67lknq4ptdq7j6z2dl,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,6200000.000000000000000000,ujuno,6200000
juno1vgax2re9j8yfg6p4067lfznef85p4p28thypq9,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,480000.000000000000000000,ujuno,480000
juno1vfnlnf0fcae7hryg5qpl8wgrs7zwzrxtfdwte2,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,450000.000000000000000000,ujuno,450000
juno1vvdutjee54j2uwzyzf757vzlrhztzg2qktwxle,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,1500000.000000000000000000,ujuno,1500000
juno1vwf2r3a94pqfct8842z52v9gm3vu7rpk9lzyq5,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,1100.000000000000000000,ujuno,1100
juno1v6xsc2qtlsqqc294pglhspyl67u4rct6t5fq6t,junovaloper1wke3ev9ja6rxsngld75r3vppcpet94xx4m43gu,10000000.000000000000000000,ujuno,10000000
