delegation/delegator_address,delegation/validator_address,delegation/shares,balance/denom,balance/amount
juno1qpx2wujntens9hfhw52pp3c67xqymg0wnwzll0,junovaloper1jghdavdegcujzg96l08ghx086u0dwyjctw28d2,1100000.000000000000000000,ujuno,1100000
juno1qpk0c8zjtxcp5cu0ee64v0nmzsnetn7nehvce4,junovaloper1jghdavdegcujzg96l08ghx086u0dwyjctw28d2,20925167.000000000000000000,ujuno,20925167
juno1qgkydavnc7ymstnp2uztnxp5xfwynqzedtzfqy,junovaloper1jghdavdegcujzg96l08ghx086u0dwyjctw28d2,5000000.000000000000000000,ujuno,5000000
juno1q2cuye4r58c6aerg5e8qh3acs03nhe43c3zj20,junovaloper1jghdavdegcujzg96l08ghx086u0dwyjctw28d2,20000000.000000000000000000,ujuno,20000000
juno1qwm86e67myvf282sua85hawn6nq8jejakynxxl,junovaloper1jghdavdegcujzg96l08ghx086u0dwyjctw28d2,5000000.000000000000000000,ujuno,5000000
juno1qsjr57puxhp228e85g4s4k95nykg86ya5p8lx7,junovaloper1jghdavdegcujzg96l08ghx086u0dwyjctw28d2,12000000.000000000000000000,ujuno,12000000
juno1q38g62lnr79tm6m0qnwz4c9rrkzxpnx5a04ez3,junovaloper1jghdavdegcujzg96l08ghx086u0dwyjctw28d2,1000.000000000000000000,ujuno,1000
juno1qkw7sqzsphspz2flgjz253nge0u3e6fmh0470c,junovaloper1jghdavdegcujzg96l08ghx086u0dwyjctw28d2,5570258.000000000000000000,ujuno,5570258
juno1quvs0mruzsdd6cw0tj0c80ydsfqdh03g8h87ks,junovaloper1jghdavdegcujzg96l08ghx086u0dwyjctw28d2,200000.000000000000000000,ujuno,200000
juno1pqawqj4pr5tw38w4d45t47ce2vj09u5qxldvtm,junovaloper1jghdavdegcujzg96l08ghx086u0dwyjctw28d2,506507548.000000000000000000,ujuno,506507548
juno1p86m45m58p4n32k6lgwxjv5qd9x2r9wcg3y6xt,junovaloper1jghdavdegcujzg96l08ghx086u0dwyjctw28d2,2000000.000000000000000000,ujuno,2000000
juno1p5ave8pzxzzgwdd893tfm2sdlxnpzmd008ujv0,junovaloper1jghdavdegcujzg96l08ghx086u0dwyjctw28d2,50000000.000000000000000000,ujuno,50000000
juno1zplmys0z9qke477z4p80q2q25mvae9mqhsc26x,junovaloper1jghdavdegcujzg96l08ghx086u0dwyjctw28d2,15170.000000000000000000,ujuno,15170
juno1zf4vfsqv536fylr62f48j8j46mnk4473sdqkmd,junovaloper1jghdavdegcujzg96l08ghx086u0dwyjctw28d2,308000.000000000000000000,ujuno,308000
