delegation/delegator_address,delegation/validator_address,delegation/shares,balance/denom,balance/amount
juno1qpyk20kmqz90549pwutv988zvx5ee8d52vrm2k,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,8465196.000000000000000000,ujuno,8465196
juno1qzfpuh5fhq6c679wpzlgt079nq683kfwvqz97k,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,1824117.000000000000000000,ujuno,1824117
juno1qz07zj6llfn50nllx63hwmrp8dyyrn5tywn9p3,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,1000.000000000000000000,ujuno,1000
juno1qr7mj4j7cqy7efw5yvdlkysrtnek589mgv6vmd,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,26001374.000000000000000000,ujuno,26001374
juno1qyqpyd5kaz4f3np33f696zkn2vfd87ap5zwgx9,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,150000000.000000000000000000,ujuno,150000000
juno1qyy4449dn5mexw8uy7q6juxugak2hs9ptwkp7u,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,11000000.000000000000000000,ujuno,11000000
juno1qy9kxjwrcjee92p8se3cza2k9swtq7a6du97j2,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,2300.000000000000000000,ujuno,2300
juno1q9vxufs3cyry6mhetxcs7v2w79tu85d44pepku,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,1000000.000000000000000000,ujuno,1000000
juno1qxu9nesczww4uhwxhjwa268a7qg44j280xnv74,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,13705212.000000000000000000,ujuno,13705212
juno1q804sacllc07va0nxrkje4jmk0m3eku79v0xt2,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,5000000.000000000000000000,ujuno,5000000
juno1q8atc4jt8a39x0fpudyhvwvweuzctsa8rys0tp,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,7871.000000000000000000,ujuno,7871
juno1qfl9rzthfx99x7k6vv3vk5kr64epey8ztsq5rl,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,10000000.000000000000000000,ujuno,10000000
juno1q2qyq67arqm4j00xd5rsf3sc5ehnx6mw3ahfjn,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,15000000.000000000000000000,ujuno,15000000
juno1q2vw49f4yul47sqxkw3cuzm3vvjqegrzczcrsv,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,30100000.000000000000000000,ujuno,30100000
juno1qtr3nc3uym9203mnpals30zm4grmkj7d3zuwuj,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,5326327.000000000000000000,ujuno,5326327
juno1qtf9h4sudj4rdedmxjr3qq52pmp7apy78dtd7t,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,10500000.000000000000000000,ujuno,10500000
juno1qtepnzqmdjt9e95ezywhvg7f0pqekjwvldhpq3,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,50000000.000000000000000000,ujuno,50000000
juno1qvyyzywlz8ppl58d8hx2p9qja8sv9xvf7r6v3c,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,4177239.000000000000000000,ujuno,4177239
juno1qdqpcnn27cxndwr3z7h2m3h7g65zu7fnc9g2aj,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,4249331.000000000000000000,ujuno,4249331
juno1qdqgnhgv8054wqe2g4w7xkffahw0h5p3wdadyl,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,1000000.000000000000000000,ujuno,1000000
juno1qdfjjvktchm0vc23neh0ale5cklm3z8rsj5xx4,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,3158000.000000000000000000,ujuno,3158000
juno1qdnupyrgexy276w553z6xve5h29vc2a3vdpu9k,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,12140749.000000000000000000,ujuno,12140749
juno1qd644cu9gy7axxd376hxl5vge4hw4c58lunf5a,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,3000000.000000000000000000,ujuno,3000000
juno1qdmugwsrzdgfnzfze3fn7chnh96ly4tm5whf5f,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,8765.000000000000000000,ujuno,8765
juno1qwtvsacz4avvjrf7fez0qn87mfh2lsznzcmm9w,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,10002217.000000000000000000,ujuno,10002217
juno1qwkzzhtm8u7zsjs9sq52slrewh7zuflff4n7dm,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,12534725.000000000000000000,ujuno,12534725
juno1q0zsa0gt4rhnsksdtj8qvata8jhjvtcq6kqxs9,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,3750.000000000000000000,ujuno,3750
juno1q3qk5ll89gt2nzcn2lfu40kj67rr0m2wf35d8w,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,1670895.000000000000000000,ujuno,1670895
juno1q32wptxjggkxuq3fat9hfetpddc5zwecw0kpdw,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,103524.000000000000000000,ujuno,103524
juno1qjeqaq2swzw4g758dxkhtfw7w0c3s3tv7wcwek,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,10435313.000000000000000000,ujuno,10435313
juno1qng0hw3ux7du2ja0w3jp5m5w8dpsh56rr4n2sm,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,21458690.000000000000000000,ujuno,21458690
juno1q5xn4twz3cj9ydy73y8xcq6t649qjmjun7ahkh,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,993750.000000000000000000,ujuno,993750
juno1q4vvt58ndahlg337sv7xftnl8vyq5g63vewx7z,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,103058.000000000000000000,ujuno,103058
juno1qcrmq8x3q56ap57rz9ettr6td7yuyrh0npxdpa,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,10754537.000000000000000000,ujuno,10754537
juno1qck9n24unemhyt6qgsvz5q577nua8zas734qlp,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,10000000.000000000000000000,ujuno,10000000
juno1qchky35u6dwxj5p0rcel4drr9nhxhp5drv6lps,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,11800000.000000000000000000,ujuno,11800000
juno1qcu63adrfwuxqvesmf4z49hglz5edgpy5w9s5h,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,28168316.000000000000000000,ujuno,28168316
juno1qej9kewhalq8y72j3sy80d0l4rhr7cwcr6herc,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,11000000.000000000000000000,ujuno,11000000
juno1q6wtyhh7nsqmysn8qs5apm24pzqw08ut9c2sms,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,600000.000000000000000000,ujuno,600000
juno1q67xeyqn79wuqccp6jven2kq0crqzjt92syxa0,junovaloper1udpsgkgyutgsglauk9vk9rs03a3skc62y8qyrj,11859318.000000000000000000,ujuno,11859318
