delegation/delegator_address,delegation/validator_address,delegation/shares,balance/denom,balance/amount
juno1qq83t2ej7wt7ms5kp2yg66l6jj0r5serj0rn40,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,1050000.000000000000000000,ujuno,1050000
juno1qqkjdgguw6y0ljfmrw6nn50mgagk7jm7gshkmd,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,1021107320.000000000000000000,ujuno,1021107320
juno1qpwez5shaj25p0clftpvr7p3vh0a4qc6g5ccut,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,319400.000000000000000000,ujuno,319400
juno1qz5lna88y986khj62vpwaqt3l8jm2vqg9s08nz,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,5710592.000000000000000000,ujuno,5710592
juno1qrztzrxghkts320k9z44ml4lzedhzd7zdqttx4,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,2900000.000000000000000000,ujuno,2900000
juno1qy9cktcwj0k6dl0j7jryg078ycsxz3xszl5npl,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,100000000.000000000000000000,ujuno,100000000
juno1qyfxc5ghde7d5vm8nq0e2nege6tkq9mgvse0e5,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,500000.000000000000000000,ujuno,500000
juno1qy6xeet5pxn96wwwazdxm4z9q097tj86araczy,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,164999999.000000000000000000,ujuno,164999999
juno1q9d04tgshjsp5jalhnth8d2xskvlkuf5h884uq,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,5710058.000000000000000000,ujuno,5710058
juno1qxqzj6uvjmksyfa5gh8ukkmzlkqlea2s2tj58d,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,19545210.000000000000000000,ujuno,19545210
juno1qx099aat8cvrmxesrj7n0m0tvntqwkwmqzf77s,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,2000000.000000000000000000,ujuno,2000000
juno1qx5akwp4c5umaatyjctpxd24lhnmuqnfuk4ptq,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,5709009.000000000000000000,ujuno,5709009
juno1qxc98je8kyrjx5lsed0my8akrs25vqzfy7x6cn,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,5274795.000000000000000000,ujuno,5274795
juno1q8dltlk8mye2nr7u49plucsn6nzal7s9ddkec4,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,30000.000000000000000000,ujuno,30000
juno1qgf62m4kdmph0mdfdmpdy2x07uttspe2hkf8yk,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,5710617.000000000000000000,ujuno,5710617
juno1qfpdlapjcxc8tcmceqaadpgxvweanupwkzdgwa,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,13421459.000000000000000000,ujuno,13421459
juno1q2ppdxvnep5ga3arxd5dztsxzafvhrftauspmy,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,25100000.000000000000000000,ujuno,25100000
juno1q23k6l34zfu9czdu09pk97ehrq0qmc9r09d5uv,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,5710597.000000000000000000,ujuno,5710597
juno1q2a53xftr9dzcvpyk4mf7ultrylkspffcx4gdh,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,10085805.000000000000000000,ujuno,10085805
juno1qtqlg52rmau5lsd2p5hf9rdfwvwnxay7dw4z39,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,27292394.000000000000000000,ujuno,27292394
juno1qta7wypuwzwp9jed6syfeew27xu4w2ysag3d0c,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,100000000.000000000000000000,ujuno,100000000
juno1qvqyzc5fwpxhswxyq7fsat0lm4peg5vzshagzl,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,85886936.000000000000000000,ujuno,85886936
juno1qv036l0533l7403a35n3vs0c0k9dsvwf5wnavy,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,5711143.000000000000000000,ujuno,5711143
juno1qv0m7pm5jf7elfc2m32t9qzrtq69903w9u00xj,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,100002985.000000000000000000,ujuno,100002985
juno1qvcf5jzvayjdfrkhtyh357234kkpgdlkxgvhva,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,224642200.000000000000000000,ujuno,224642200
juno1qv7fpkypd89fped8m0xzfxxzcs2njeehr4v82u,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,1020000.000000000000000000,ujuno,1020000
juno1qdqpcnn27cxndwr3z7h2m3h7g65zu7fnc9g2aj,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,4000000.000000000000000000,ujuno,4000000
juno1qd5kwz2u60kv7lar5tytl6v8ndcq9ecjqk5764,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,5710565.000000000000000000,ujuno,5710565
juno1qd432aem98lvzpjcq78gvzqputgcs090veus74,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,83067556194.000000000000000000,ujuno,83067556194
juno1qwxwkn4leawvkft2wm9pt9dzektcmafxt8k20g,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,16380000.000000000000000000,ujuno,16380000
juno1qw2zs6u32ynmk6f57h93rl0rp9guu92p8d7rhj,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,13100000.000000000000000000,ujuno,13100000
juno1qwsyhra8xpzh5j542nl0jwexqumhtxc5wxnpqc,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,7000000.000000000000000000,ujuno,7000000
juno1qwk0j5n0vwrlhxp5fx02q84d3jxpmk6u82sg0f,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,1704310840.000000000000000000,ujuno,1704310840
juno1qw7yxqmmtdtqq42muyw9qvj4lh09jn37de8h5v,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,627513.000000000000000000,ujuno,627513
juno1qsrhwj4lmv04tdsx4xf2gan8udj4m282lq4ayt,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,19277.000000000000000000,ujuno,19277
juno1qsfd5vkynrs2glpzmmj2xlnl7wk20k3z7dfsy2,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,26722578.000000000000000000,ujuno,26722578
juno1qsd2v99jxwts82u0mwvgpn6phwpldvlmr6x645,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,5709537.000000000000000000,ujuno,5709537
juno1qshss8jqze6ayvkq2ejgx5ntsscw68lnvrjdc9,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,1000000.000000000000000000,ujuno,1000000
juno1q3w63x80080xt8xwevjlntfdyc3vyd55kczxpv,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,1002000000.000000000000000000,ujuno,1002000000
juno1q3cj9q8tujc7gtva26s7zr4ywl8mvjaf6kmld0,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,10000.000000000000000000,ujuno,10000
juno1q3e53slt6l0q24xqnfjze2s08lt0pdq6v2jtfv,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,32000.000000000000000000,ujuno,32000
juno1qjm6czqm2u9ag038g6t5yf4p48djas24lx3pmu,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,10000.000000000000000000,ujuno,10000
juno1qntst6v7efqrtldd7gw4wke0669fjl3mfa45dh,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,5710101.000000000000000000,ujuno,5710101
juno1qnwdnp6skfpdteqvx6y9e25kpux0pxyjyaw8du,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,1020000.000000000000000000,ujuno,1020000
juno1qn0d8m5s8k5e6ym5lu05g7xaj2zf8y57y7rlf3,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,46000000.000000000000000000,ujuno,46000000
juno1qn53ph3awuyl0aga7nvhx4dx8uaqplrz44kvlk,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,20001000.000000000000000000,ujuno,20001000
juno1qnug45jr9azwm8e83rk09ayjqcjvxhf3u3rre2,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,5710626.000000000000000000,ujuno,5710626
juno1q5p35mgk04vxw3s7y4caf93yku2mfygfqg7m4n,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,5400000.000000000000000000,ujuno,5400000
juno1q53zwtel8nzxwsjkwyn4cktyvts3u0uaf0gwdf,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,25093750.000000000000000000,ujuno,25093750
juno1q49wtpctdn66uq3qazm832ttz0fqf73qzptzgf,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,25167642.000000000000000000,ujuno,25167642
juno1q4d7srzu9t792h7cu9t0ug5fj9jwy6m8k5v3ea,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,50000.000000000000000000,ujuno,50000
juno1q4cttgf5hvxepreuzvak0xun34tzg9uhnqxpdz,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,4039806.000000000000000000,ujuno,4039806
juno1qkfkmwgc4k86k94gly3swjwfmqkqrxjzhxm0mm,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,1011500.000000000000000000,ujuno,1011500
juno1qk4g4pv07gymxchkucjfluepm5q59v8axxspyk,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,26210916.000000000000000000,ujuno,26210916
juno1qk7nx0r7d8p35w4lycwz8e6nx2296y7mg3vx45,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,11838459.000000000000000000,ujuno,11838459
juno1qhj5ff5z0s38pn2t90ks48s2n3g8wjp0fsq32q,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,11000000.000000000000000000,ujuno,11000000
juno1qhc5pdg7p55a2pxd3h5qusf6chvdpfemg8dgam,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,37500000.000000000000000000,ujuno,37500000
juno1qcksn8kws0a979rhluxz7h2tkv0qy24sen7jzs,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,30000000.000000000000000000,ujuno,30000000
juno1qc60ztmn89hzn9w8zxd77m7lcpygcjdc5yqka0,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,5000000000.000000000000000000,ujuno,5000000000
juno1q696vxqr8sdv02acyv7way7am0pg9t42c9qhj2,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,1060000.000000000000000000,ujuno,1060000
juno1qmv27m6kxrdpmjsd4gckt8q9e06wssvl98m4h5,junovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4kjctkq,29210767.000000000000000000,ujuno,29210767
