delegation/delegator_address,delegation/validator_address,delegation/shares,balance/denom,balance/amount
juno1qqq9txnw4c77sdvzx0tkedsafl5s3vk7hn53fn,junovaloper17n3w6v5q3n0tws4xv8upd9ul4qqes0nlg7q0xd,22023304.000000000000000000,ujuno,22023304
juno1qqq22fsralalyq92xl29xv9xxqvtyc2fu3e3p9,junovaloper17n3w6v5q3n0tws4xv8upd9ul4qqes0nlg7q0xd,1792393.000000000000000000,ujuno,1792393
juno1qqrnzytacq9gah4a8697lfr45wkmrzmpc2nw0l,junovaloper17n3w6v5q3n0tws4xv8upd9ul4qqes0nlg7q0xd,50000000.000000000000000000,ujuno,50000000
juno1qqu9qkfvjzqx2u5v4tefuwjdflkadcfqm9jx74,junovaloper17n3w6v5q3n0tws4xv8upd9ul4qqes0nlg7q0xd,10000000.000000000000000000,ujuno,10000000
juno1qp2svwfm0r7pxs4gtvp6hh35weznwkv50z452w,junovaloper17n3w6v5q3n0tws4xv8upd9ul4qqes0nlg7q0xd,200000.000000000000000000,ujuno,200000
juno1qp3jvr9p3n4najrrrxmejgf4usx9s2lyvglmmx,junovaloper17n3w6v5q3n0tws4xv8upd9ul4qqes0nlg7q0xd,25530000.000000000000000000,ujuno,25530000
juno1qp59k44d9338qqc2vx4cc8rm0tnfwwvhmklkha,junovaloper17n3w6v5q3n0tws4xv8upd9ul4qqes0nlg7q0xd,100100000.000000000000000000,ujuno,100100000
juno1qpkjncgldyumu3ftjh52lyufycmpxrq53wjpzh,junovaloper17n3w6v5q3n0tws4xv8upd9ul4qqes0nlg7q0xd,6000000.000000000000000000,ujuno,6000000
juno1qpm6ulh2n5g9f8je70x3adhfxrnqulpfynvufj,junovaloper17n3w6v5q3n0tws4xv8upd9ul4qqes0nlg7q0xd,15000000.000000000000000000,ujuno,15000000
juno1qpac8q0ky745zmfpenc5cnn8jd24vzrn0nl8np,junovaloper17n3w6v5q3n0tws4xv8upd9ul4qqes0nlg7q0xd,376850000.000000000000000000,ujuno,376850000
juno1qz5g4f2h76zyj5ja4heqv2v65zscyj9j35g6j2,junovaloper17n3w6v5q3n0tws4xv8upd9ul4qqes0nlg7q0xd,2000000.000000000000000000,ujuno,2000000
juno1qrql0zcrdr2cts4yzrr4nfq5sp6katj3fafaql,junovaloper17n3w6v5q3n0tws4xv8upd9ul4qqes0nlg7q0xd,27022180.000000000000000000,ujuno,27022180
juno1qr8uu5z56esswntg8dsztxzvn2w7rjuvlvplsh,junovaloper17n3w6v5q3n0tws4xv8upd9ul4qqes0nlg7q0xd,1307886.000000000000000000,ujuno,1307886
juno1qrdglfal54npzae3rf068cy0p7xcdwh84qllxf,junovaloper17n3w6v5q3n0tws4xv8upd9ul4qqes0nlg7q0xd,3838196.000000000000000000,ujuno,3838196
juno1qrh36gnrgttj42xxqpmrehnm6jx2lgj53cm472,junovaloper17n3w6v5q3n0tws4xv8upd9ul4qqes0nlg7q0xd,1000000.000000000000000000,ujuno,1000000
juno1qrmjzacxz55j3j5ylq6839xacdy3cm6e5nu8y3,junovaloper17n3w6v5q3n0tws4xv8upd9ul4qqes0nlg7q0xd,1000000.000000000000000000,ujuno,1000000
juno1qrm7gmd5uyvmxfy4xg48zxhe54jxrpy7c4phwn,junovaloper17n3w6v5q3n0tws4xv8upd9ul4qqes0nlg7q0xd,10000000.000000000000000000,ujuno,10000000
