delegation/delegator_address,delegation/validator_address,delegation/shares,balance/denom,balance/amount
juno1qqrnzytacq9gah4a8697lfr45wkmrzmpc2nw0l,junovaloper1eqwz3j9cv7q3jjy2alzy02hy5amlqmacm0z65q,20000000.000000000000000000,ujuno,20000000
juno1qpkjncgldyumu3ftjh52lyufycmpxrq53wjpzh,junovaloper1eqwz3j9cv7q3jjy2alzy02hy5amlqmacm0z65q,3343500.000000000000000000,ujuno,3343500
juno1qztzc3pze6d3w5cpat4ysqhv46gxqf0hldgt6m,junovaloper1eqwz3j9cv7q3jjy2alzy02hy5amlqmacm0z65q,117436377.000000000000000000,ujuno,117436377
juno1qr2c8dcdq9r5pkvd3cq4j2r9tl26uk7g5tnqmr,junovaloper1eqwz3j9cv7q3jjy2alzy02hy5amlqmacm0z65q,10156063.000000000000000000,ujuno,10156063
juno1qyqpyd5kaz4f3np33f696zkn2vfd87ap5zwgx9,junovaloper1eqwz3j9cv7q3jjy2alzy02hy5amlqmacm0z65q,59600000.000000000000000000,ujuno,59600000
juno1q9prh007n9rupem37gmfp25u6feljga4a8usnd,junovaloper1eqwz3j9cv7q3jjy2alzy02hy5amlqmacm0z65q,4630000.000000000000000000,ujuno,4630000
juno1qxh8dfj72vymqnqamatdn5e8zmun5ggxrzwzvq,junovaloper1eqwz3j9cv7q3jjy2alzy02hy5amlqmacm0z65q,26000000.000000000000000000,ujuno,26000000
juno1qfl9rzthfx99x7k6vv3vk5kr64epey8ztsq5rl,junovaloper1eqwz3j9cv7q3jjy2alzy02hy5amlqmacm0z65q,2500000.000000000000000000,ujuno,2500000
juno1q2ke5n8rgr8ncjyeeqed3xyhyneluxgej3gt4m,junovaloper1eqwz3j9cv7q3jjy2alzy02hy5amlqmacm0z65q,2772509087.000000000000000000,ujuno,2772509087
juno1q272nkds9yrttej30hag4flwrtzdspk43e7m7z,junovaloper1eqwz3j9cv7q3jjy2alzy02hy5amlqmacm0z65q,10367319.000000000000000000,ujuno,10367319
juno1qt8qa27jzlfk8tsehp3fvltdnnn0u04g2ket3f,junovaloper1eqwz3j9cv7q3jjy2alzy02hy5amlqmacm0z65q,511000000.000000000000000000,ujuno,511000000
juno1qdpswcvtrtdh5hpzka363u0x09tmmy2j4uhzf2,junovaloper1eqwz3j9cv7q3jjy2alzy02hy5amlqmacm0z65q,16917758.000000000000000000,ujuno,16917758
juno1qdlefv8sqnqa8t4kxpzuk6y67jznvrcuzutj4u,junovaloper1eqwz3j9cv7q3jjy2alzy02hy5amlqmacm0z65q,26018000.000000000000000000,ujuno,26018000
juno1qwa6d9wtccgzcr5vqkrgn9vu2yms8mr4pekemj,junovaloper1eqwz3j9cv7q3jjy2alzy02hy5amlqmacm0z65q,232.000000000000000000,ujuno,232
juno1qs9szgaw4ur4hsjpxkyssfljv55etjreu4m6k4,junovaloper1eqwz3j9cv7q3jjy2alzy02hy5amlqmacm0z65q,15620000.000000000000000000,ujuno,15620000
juno1qjv24g477avcktdsuu5avdajr0j53dfqua7xeu,junovaloper1eqwz3j9cv7q3jjy2alzy02hy5amlqmacm0z65q,10000000.000000000000000000,ujuno,10000000
juno1qj7nm3gxxypwqp5lvrjg27jc7tlhlys7jr3w9u,junovaloper1eqwz3j9cv7q3jjy2alzy02hy5amlqmacm0z65q,58028491.000000000000000000,ujuno,58028491
juno1qnt0ngr2d4p2r3srngdntyh2yale5y5pe0twhd,junovaloper1eqwz3j9cv7q3jjy2alzy02hy5amlqmacm0z65q,100.000000000000000000,ujuno,100
juno1qh40v99fdpj4zd9rw602pa4p2xd2wv5pu4emkf,junovaloper1eqwz3j9cv7q3jjy2alzy02hy5amlqmacm0z65q,6381.000000000000000000,ujuno,6381
