delegation/delegator_address,delegation/validator_address,delegation/shares,balance/denom,balance/amount
juno1qzkgmkg0pz3n5m3hpdjsevwykwyvun9jkvw7zd,junovaloper1ww5s8k6820cft2v75cdptesqz3kc27n333arp2,8500.850082940484239373,ujuno,8500
juno1zqhfcpwetx4e47h5jpsms5nut64m6wee73dnmt,junovaloper1ww5s8k6820cft2v75cdptesqz3kc27n333arp2,1000.100009757704028161,ujuno,1000
juno1zk0te4tl66gudysd5pq9zjtr2grrtjpgf80stk,junovaloper1ww5s8k6820cft2v75cdptesqz3kc27n333arp2,1000101.009836110743224639,ujuno,1000000
juno1rgs4eqlsl08znywevt907tdfeytdqn86u4zhlf,junovaloper1ww5s8k6820cft2v75cdptesqz3kc27n333arp2,0.000029322095394281,ujuno,0
juno192f9rlv7lt066q4ayaarj4fypnwfwejwg8w6wh,junovaloper1ww5s8k6820cft2v75cdptesqz3kc27n333arp2,1000100.010001000100010000,ujuno,1000000
juno190g5j8aszqhvtg7cprmev8xcxs6csra7xnk3n3,junovaloper1ww5s8k6820cft2v75cdptesqz3kc27n333arp2,30400250121.971300352019253124,ujuno,30397210105
juno1xfvr0t3799z64ayeje0uhsyhev3h362na90jfg,junovaloper1ww5s8k6820cft2v75cdptesqz3kc27n333arp2,105010.501022290605747981,ujuno,105000
juno1x0ngacet50kjdtwvfq5fr0ge25fempslnc0eqa,junovaloper1ww5s8k6820cft2v75cdptesqz3kc27n333arp2,2000.200019515408056323,ujuno,2000
juno1x443puphahxraapt4rkxxpt7z6rgk29tjf578w,junovaloper1ww5s8k6820cft2v75cdptesqz3kc27n333arp2,1500.150014604151510685,ujuno,1500
juno1xeuuwxueqv2hl805gdq2vasumz69l9emha4w0c,junovaloper1ww5s8k6820cft2v75cdptesqz3kc27n333arp2,1010101.009833462017194868,ujuno,1009999
juno18t6acaucjkant7zjxwz5hm8f9vc9ktntw4wjyp,junovaloper1ww5s8k6820cft2v75cdptesqz3kc27n333arp2,8765.876586366794664331,ujuno,8765
juno1g9t95qcdhjs9f3gtrs7w7rt2c76zhjma5zx2a8,junovaloper1ww5s8k6820cft2v75cdptesqz3kc27n333arp2,2000.200019515408056323,ujuno,2000
